molecule,h_rank,atom_index,raw_para_iso,sigma_para_ppm,sigma_dia_ppm,sigma_total_ppm,rho_H,delta_exp_ppm
methane,0,1,0.00537247810759,0.28609173636,17.5715679269,17.8576596633,0.989922308182,0.23
methane,1,2,0.00545059627551,0.290251634615,17.5716482243,17.861899859,0.989926831867,0.23
methane,2,3,0.00538980269677,0.287014294201,17.571706139,17.8587204332,0.989930094579,0.23
methane,3,4,0.00542742916786,0.289017954752,17.5716423212,17.8606602759,0.989926499302,0.23
ethane,0,2,0.00563893879118,0.300281128688,17.7181805775,18.0184617062,0.998181965723,0.86
ethane,1,3,0.00563336636543,0.299984389469,17.7181286185,18.018113008,0.99817903853,0.86
ethane,2,4,0.00562111737782,0.299332114287,17.7181609533,18.0174930675,0.998180860158,0.86
ethane,3,5,0.00564067565115,0.300373618834,17.7180783833,18.0184520022,0.998176208449,0.86
ethane,4,6,0.00563657423232,0.300155212726,17.7182409258,18.0183961385,0.998185365536,0.86
ethane,5,7,0.00562995642789,0.299802805676,17.718116231,18.0179190367,0.99817834066,0.86
propane,0,3,0.00620345499041,0.330342380946,17.8162881665,18.1466305475,1.00370901324,1.33
propane,1,4,0.00622662160425,0.331576034512,17.8162948795,18.1478709141,1.00370939143,1.33
propane,2,5,0.00569758329381,0.303404027889,17.7849867749,18.0883908028,1.00194559942,0.91
propane,3,6,0.00584183094362,0.311085410627,17.7160920416,18.0271774522,0.99806430472,0.91
propane,4,7,0.00586525547788,0.312332798805,17.7160944575,18.0284272563,0.998064440823,0.91
propane,5,8,0.00570648434808,0.303878021085,17.7849937095,18.0888717306,1.00194599009,0.91
propane,6,9,0.00585073116248,0.311559359337,17.7160885752,18.0276479345,0.998064109434,0.91
propane,7,10,0.00584219353352,0.31110471903,17.7160901134,18.0271948325,0.998064196093,0.91
isobutane,0,2,0.00600995110407,0.320038036893,17.7774910389,18.0975290758,1.00152331517,0.86
isobutane,1,3,0.00621288839262,0.330844722391,17.7317673145,18.0626120369,0.998947396224,0.86
isobutane,2,4,0.00603795403289,0.321529230784,17.7774897783,18.099019009,1.00152324415,0.86
isobutane,3,6,0.00611677327213,0.325726462035,17.7317675767,18.0574940387,0.998947410994,0.86
isobutane,4,7,0.00598114902267,0.318504287046,17.7774903284,18.0959946155,1.00152327515,0.86
isobutane,5,8,0.00598409621959,0.318661229274,17.7774947351,18.0961559644,1.0015235234,0.86
isobutane,6,10,0.00678141192771,0.361119370712,17.9259196869,18.2870390577,1.00988527982,1.65
isobutane,7,11,0.00602310000917,0.320738233901,17.7774936201,18.098231854,1.00152346059,0.86
isobutane,8,12,0.00598361457985,0.318635581305,17.7774892789,18.0961248602,1.00152321602,0.86
isobutane,9,13,0.00615752531346,0.327896563436,17.7317674461,18.0596640096,0.998947403638,0.86
n-butane,0,4,0.00556576978293,0.29638477989,17.7821741798,18.0785589597,1.00178714738,0.91
n-butane,1,5,0.00560454538392,0.298449633165,17.7821758609,18.0806254941,1.00178724209,0.91
n-butane,2,6,0.00576833590539,0.307171700291,17.7295912455,18.0367629458,0.998824803905,0.91
n-butane,3,7,0.00571015841991,0.304073670387,17.7295917878,18.0336654582,0.998824834456,0.91
n-butane,4,8,0.00566434517589,0.301634053088,17.7295924131,18.0312264662,0.998824869681,0.91
n-butane,5,9,0.00571790413042,0.304486139963,17.7295993727,18.0340855127,0.998825261764,0.91
n-butane,6,10,0.00657259683223,0.349999684033,17.8403204142,18.1903200983,1.00506290825,1.31
n-butane,7,11,0.00653861398196,0.348190051226,17.8403243532,18.1885144044,1.00506313016,1.31
n-butane,8,12,0.00654344249985,0.348447176343,17.8403154224,18.1887625987,1.00506262703,1.31
n-butane,9,13,0.0065336496162,0.347925692025,17.8403130102,18.1882387022,1.00506249113,1.31
n-pentane,0,5,0.00542617285019,0.288951054135,17.7854769184,18.0744279725,1.00197321243,0.88
n-pentane,1,6,0.00662632544754,0.352860805575,17.8440430362,18.1969038418,1.0052726281,1.29
n-pentane,2,7,0.00658471252363,0.350644861011,17.8440432271,18.1946880881,1.00527263885,1.29
n-pentane,3,8,0.00561964019907,0.299253452518,17.7330246459,18.0322780985,0.999018229994,0.88
n-pentane,4,9,0.00561200194903,0.298846705357,17.7330252896,18.0318719949,0.999018266254,0.88
n-pentane,5,10,0.00693784868732,0.369449840058,17.8439200543,18.2133698944,1.00526569972,1.29
n-pentane,6,11,0.00691916602984,0.368454963241,17.8439201981,18.2123751614,1.00526570782,1.29
n-pentane,7,12,0.00664784378452,0.354006686166,17.8440448274,18.1980515136,1.00527272901,1.29
n-pentane,8,13,0.00661205151047,0.352100699091,17.8440455073,18.1961462064,1.00527276731,1.29
n-pentane,9,14,0.00544526979206,0.289967992156,17.7854757043,18.0754436964,1.00197314403,0.88
n-pentane,10,15,0.00559891480726,0.298149797331,17.7330237578,18.0311735551,0.999018179961,0.88
n-pentane,11,16,0.00562720040101,0.299656043512,17.7330229463,18.0326789898,0.999018134244,0.88
