Compound,Position,Delta E (eV),Error (Delta E),Chem Shift (ppm),Error (Chem Shift)
Methane,,11.3,0.0,130.8,0.0
Ethane,,11.46,-0.17,119.94,-2.86
Propane,1.0,10.98,-0.05,112.18,-0.92
Propane,2.0,11.63,-0.05,111.69,-0.93
n-Butane,1.0,11.09,-0.07,114.24,-1.24
n-Butane,2.0,11.14,0.0,103.76,0.08
n-Pentane,1.0,11.09,-0.05,114.08,-0.89
n-Pentane,2.0,11.25,-0.02,105.7,-0.43
n-Pentane,3.0,10.67,0.05,95.29,1.12
n-Hexane,1.0,11.09,-0.03,114.22,-0.6
n-Hexane,2.0,11.25,0.0,105.86,0.08
n-Hexane,3.0,10.78,0.05,97.71,1.05
n-Heptane,1.0,11.09,-0.03,114.22,-0.53
n-Heptane,2.0,11.25,0.01,105.84,0.14
n-Heptane,3.0,10.78,0.07,97.69,1.39
n-Heptane,4.0,10.89,0.03,99.68,0.45
Isobutane,1.0,10.51,-0.03,103.84,-0.51
Isobutane,2.0,11.8,0.1,105.94,1.82
"2,2-Dimethylbutane",1.0,10.28,0.01,99.62,-0.15
"2,2-Dimethylbutane",2.0,11.82,0.0,98.17,-0.09
"2,2-Dimethylbutane",3.0,10.51,0.0,92.09,0.07
"2,2-Dimethylbutane",4.0,11.32,0.1,118.38,-1.65
Neopentane,1.0,10.18,0.01,97.47,0.24
Neopentane,2.0,11.97,-0.02,100.52,-0.28
Isopentane,1.0,10.62,-0.03,106.0,-0.67
Isopentane,2.0,11.4,0.0,98.78,-0.02
Isopentane,3.0,10.46,0.0,96.83,-0.05
Isopentane,4.0,11.2,-0.05,116.23,-0.95
"2,3-Dimethylbutane",1.0,10.73,-0.06,108.15,-1.2
"2,3-Dimethylbutane",2.0,11.15,0.0,94.57,-0.03
